V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,id,Q17_1,Q17_2,Q17_3,Q17_4,Q1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13_1,Q13_2,Q13_3,Q13_4,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,
R_WuqM03w7TGD1LtD,Default Response Set,Anonymous,,,146.7.119.5,0,2017-07-24 16:41:05,2017-07-24 16:54:06,1,,4.632,4.632,6.048,1,1,642.459,642.459,643.736,1,1,6.339,62.523,65.598,15,6,7,2,5,3,7,7,6,6,5,3,6,7,5,7,2.017,2.017,3.18,1,1,2.053,18.037,24.672,15,5,2,6,4,5,5,3,3,4,6,1,3,6,3,2,1.786,1.786,3.093,1,3,0,0,28.182,0,5,3,5,6,3,1,2,6,3,7,6,7,4,2,7,1.101,1.101,2.225,1,2,37.215301513672,-93.298202514648,-1,
R_2Vf12xkMMOlnesg,Default Response Set,Anonymous,,,146.7.150.245,0,2017-07-24 17:21:27,2017-07-24 17:30:37,1,,179.766,179.766,183.767,1,1,220.375,220.375,221.718,1,1,8.224,55.665,57.487,15,7,6,5,6,6,6,4,6,5,5,6,6,7,5,7,2.231,2.231,3.38,1,1,1.406,19.367,22.042,15,5,3,2,2,5,3,3,4,1,6,7,4,2,1,6,2.146,2.146,3.173,1,3,39.645,39.645,46.273,1,4,2,4,5,1,2,3,2,6,3,7,4,5,6,7,2.495,2.495,3.689,1,2,37.215301513672,-93.298202514648,-1,
R_3iCsojPMzR65FAn,Default Response Set,Anonymous,,,68.187.242.236,0,2017-07-24 17:47:03,2017-07-24 17:53:38,1,,3.83,5.907,6.877,3,1,3.185,120.381,224.174,2,1,9.205,67.277,68.382,17,6,6,6,5,6,6,6,6,6,5,5,6,5,6,7,6.188,6.188,7.394,1,1,4.418,19.101,20.061,17,4,4,3,3,2,1,1,4,6,1,2,2,5,6,5,1.715,2.799,3.987,2,3,46.991,46.991,52.714,1,7,3,6,7,5,3,1,6,1,7,3,7,7,4,7,1.834,1.834,2.665,1,2,38.802200317383,-90.626998901367,-1,
R_3OktPxT5YEz5wdO,Default Response Set,Anonymous,,,107.193.183.63,0,2017-07-24 18:45:56,2017-07-24 18:54:45,1,,27.529,88.28,90.354,4,1,4.061,173.338,271.418,2,1,2.843,54.719,56.088,16,5,6,4,4,4,5,6,5,6,6,5,6,6,5,7,2.81,2.81,4.752,1,1,3.396,25.914,27.691,18,5,2,6,5,5,4,5,4,2,3,5,3,5,1,2,2.449,2.449,3.943,1,3,47.75,55.26,57.06,2,4,7,5,2,1,2,4,4,5,2,3,6,2,5,2,2.223,2.223,4.046,1,2,37.218994140625,-93.317596435547,-1,
R_1H5DzbeqqX2jYTQ,Default Response Set,Anonymous,,,50.80.170.58,0,2017-07-24 20:11:23,2017-07-24 20:22:34,1,,33.473,164.431,166.49,4,1,3.196,14.124,311.303,2,,8.346,65.129,66.39,16,7,6,5,4,6,7,6,5,5,7,6,7,7,6,7,4.995,4.995,6.62,1,1,3.483,30.359,32.976,18,6,4,5,5,6,3,2,7,2,7,1,4,3,6,5,2.538,2.538,4.245,1,3,59.129,60.543,72.487,2,5,5,4,5,4,2,5,7,6,3,7,7,1,4,7,3.331,3.331,4.896,1,2,37.170196533203,-93.329696655273,-1,
R_2UYI56L68sfS7sL,Default Response Set,Anonymous,,,162.205.162.132,0,2017-07-24 20:14:36,2017-07-24 20:24:03,1,,4.763,56.076,63.01,5,1,19.288,275.469,276.636,7,1,12.901,85.095,86.824,21,5,5,4,6,3,4,6,6,5,5,5,6,6,5,7,6.21,6.21,8.089,1,1,6.554,50.229,52.475,20,3,7,3,5,3,3,4,3,5,6,2,7,4,2,1,2.975,2.975,4.718,1,3,8.705,58.874,61.825,8,1,6,3,1,7,1,6,2,5,7,7,4,2,2,3,2.733,2.733,5.361,1,2,37.218994140625,-93.317596435547,-1,
R_11gPPgxIjVIqYCU,Default Response Set,Anonymous,,,74.84.99.154,0,2017-07-24 20:22:00,2017-07-24 20:29:19,1,,16.113,16.113,17.932,1,1,255.28,255.28,257.048,1,1,8.128,64.13,66.519,19,4,5,5,5,5,7,7,4,6,6,4,7,6,5,7,2.548,2.548,4.105,1,1,7.058,41.666,44.651,20,6,2,1,5,2,4,4,3,4,3,3,4,4,3,3,3.22,3.22,6.302,1,3,0,0,11.348,0,2,6,1,1,1,7,3,5,7,1,7,6,3,1,2,1.815,1.815,3.254,1,2,37.170196533203,-93.329696655273,-1,
R_vkjEXQOMgooAZVL,Default Response Set,Anonymous,,,98.180.177.23,0,2017-07-24 22:08:22,2017-07-24 22:15:05,1,,5.452,5.452,7.789,1,1,10.13,12.448,237.356,2,1,1.972,77.657,81.57,17,5,7,4,6,6,7,5,6,7,6,6,7,7,5,7,1.854,1.854,2.835,1,1,2.618,19.758,22.058,18,1,2,5,6,2,2,2,3,7,1,1,3,4,4,5,2.592,2.592,4.056,1,3,26.171,26.171,28.272,1,6,7,3,2,4,2,4,6,2,5,5,1,2,5,7,5.492,5.492,7.156,1,2,36.175003051758,-115.13719940186,-1,
R_2rjEJtBTL1QMbYD,Default Response Set,Anonymous,,,162.192.214.130,0,2017-07-25 10:33:01,2017-07-25 10:41:30,1,,2.23,3.779,4.862,2,1,3.806,42.878,293.845,3,1,6.895,122.231,123.278,16,5,4,4,4,6,7,6,5,4,4,6,7,7,5,7,2.403,2.403,3.38,1,1,3.235,20.855,22.078,16,1,4,3,1,4,7,5,2,1,1,2,2,5,6,4,1.921,1.921,5.054,1,3,11.137,46.978,49.827,18,3,2,2,5,3,1,6,3,4,3,2,1,1,3,7,2.305,2.305,3.693,1,2,37.148895263672,-93.26139831543,-1,
R_3CQJV9Zvm30y133,Default Response Set,Anonymous,,,75.169.228.174,0,2017-07-25 10:53:02,2017-07-25 11:00:40,1,,45.969,45.969,47.862,1,1,156.635,278.034,279.646,2,1,7.055,51.53,53.313,15,6,7,6,5,6,6,6,5,6,6,6,6,6,6,7,1.436,1.436,2.581,1,1,5.27,27.355,31.262,16,3,2,1,3,7,1,5,2,5,2,6,4,3,7,4,2.474,2.474,4.395,1,3,8.692,21.704,31.912,4,7,5,4,6,4,4,7,7,6,1,2,4,7,6,7,1.232,1.232,2.672,1,2,40.624694824219,-111.71230316162,-1,
R_zcbKc0AzX9CPot3,Default Response Set,Anonymous,,,146.7.118.228,0,2017-07-25 11:34:39,2017-07-25 11:41:44,1,,43.692,43.692,44.82,1,1,254.629,254.629,255.577,1,1,4.092,66.926,72.273,22,6,6,5,6,4,5,3,5,6,6,5,6,6,6,7,1.508,1.508,2.367,1,1,2.727,18.458,24.566,16,7,4,6,2,2,3,7,6,3,5,3,5,4,1,5,1.694,1.694,2.817,1,3,0,0,16.04,0,4,5,2,3,1,5,1,6,6,2,2,3,3,2,1,2.205,2.205,3.095,1,2,37.215301513672,-93.298202514648,-1,
R_cOL8mySNDf6Mbg5,Default Response Set,Anonymous,,,174.126.29.63,0,2017-07-25 17:13:57,2017-07-25 17:30:35,1,,3.67,5.133,6.297,2,1,7.277,834.596,835.749,3,1,10.166,75.132,76.4,19,6,5,5,5,6,5,6,3,6,6,4,7,2,6,7,4.81,5.915,6.83,2,1,4.96,25.419,27.039,18,5,2,1,6,3,4,1,5,5,5,5,6,3,6,4,2.997,2.997,4.585,1,3,29.902,29.902,31.064,1,1,4,2,6,2,1,5,2,7,2,7,7,5,4,1,2.531,2.531,4.009,1,2,37.120498657227,-94.497703552246,-1,
R_4O8LM4TuRhsjhQJ,Default Response Set,Anonymous,,,146.7.4.89,0,2017-07-24 20:49:33,2017-07-25 17:41:23,1,,74512.081,74512.081,74529.184,1,1,349.825,349.825,351.979,1,1,12.685,125.343,127.977,20,5,7,3,4,4,7,5,5,6,6,5,6,7,5,7,2.52,2.52,4.059,1,1,12.671,52.064,62.589,17,7,4,3,1,3,6,5,2,3,7,4,4,2,6,5,3.023,3.023,4.408,1,3,0,0,20.088,0,5,4,2,6,6,1,5,7,3,2,5,1,3,3,6,2.003,2.003,3.326,1,2,37.215301513672,-93.298202514648,-1,
R_3MRuD7hext0WthU,Default Response Set,Anonymous,,,71.14.222.137,0,2017-07-25 18:19:41,2017-07-25 18:27:03,1,,0,0,3.332,0,,228.979,228.979,338.975,1,1,9.674,48.938,49.746,16,6,6,5,5,6,7,6,6,6,7,6,7,6,6,7,1.517,1.517,2.767,1,1,3.188,15.765,17.082,15,2,2,1,2,5,4,4,6,5,1,3,7,3,6,3,2.052,2.052,3.05,1,3,0,0,14.571,0,5,7,4,2,7,3,3,3,1,4,6,6,5,6,7,2.896,2.896,4.246,1,2,37.881301879883,-90.144203186035,-1,
R_1EjofcUrOrSsp8t,Default Response Set,Anonymous,,,99.45.214.213,0,2017-07-25 20:20:55,2017-07-25 20:30:46,1,,3.165,3.165,5.117,1,1,4.733,211.012,328.216,12,1,14.354,96.628,97.985,16,7,6,6,7,6,6,2,5,5,7,7,6,6,7,7,2.79,2.79,4.317,1,1,2.588,23.187,30.06,20,3,5,7,5,2,5,5,4,2,1,4,7,5,2,3,2.192,2.192,3.581,1,3,0,0,11.272,0,5,1,3,5,6,5,6,2,5,4,6,4,4,3,1,2.123,2.123,3.453,1,2,37.170196533203,-93.329696655273,-1,
R_2OUT92wE5w07hqX,Default Response Set,Anonymous,,,99.50.200.99,0,2017-07-25 21:14:26,2017-07-25 21:38:26,1,,4.024,4.024,5.155,1,1,186.533,186.533,188.394,1,1,3.359,13.189,14.44,16,5,5,5,6,5,4,6,5,5,4,5,5,5,5,5,2.209,2.209,2.95,1,1,3.991,31.327,32.483,18,4,3,4,7,3,6,5,3,5,6,5,2,2,2,1,2.16,2.16,3.187,1,3,264.125,489.634,490.6,27,4,4,5,5,5,5,5,5,5,4,5,5,4,5,2,7.243,7.243,10.15,1,2,32.889694213867,-117.13359832764,-1,
R_CaCsbuyG0hOG6iJ,Default Response Set,Anonymous,,,173.46.251.68,0,2017-07-25 23:37:06,2017-07-26 00:02:11,1,,362.682,362.682,364.616,1,1,902.38,902.38,928.374,1,1,17.349,80.422,82.786,15,6,6,7,3,6,7,7,5,6,7,6,7,5,7,7,1.777,1.777,3.029,1,1,4.55,26.683,29.062,15,4,2,3,7,1,1,2,3,4,6,5,7,2,6,6,2.572,2.572,4.136,1,3,69.97,71.522,79.125,2,3,3,5,1,6,7,6,6,6,1,1,5,7,5,4,3.389,3.389,4.682,1,2,37.170196533203,-93.329696655273,-1,
R_R9ygJnsGf8NKPO9,Default Response Set,Anonymous,,,146.7.4.71,0,2017-07-26 13:10:55,2017-07-26 13:18:55,1,,21.706,70.553,72.004,3,1,3.994,263.005,267.117,2,1,3.579,57.107,58.299,17,6,7,5,4,5,6,7,5,6,6,4,6,5,5,7,2.08,2.08,3.763,1,1,3.379,25.806,26.789,17,4,4,6,1,3,4,6,7,2,3,6,2,3,3,6,1.077,1.077,2.211,1,3,4.385,35.896,37.353,3,6,1,2,1,1,3,2,7,5,1,1,2,7,5,6,1.598,2.328,3.619,2,2,37.215301513672,-93.298202514648,-1,
R_ZdWA3juVfHvtD7r,Default Response Set,Anonymous,,,104.49.46.159,0,2017-07-26 14:57:56,2017-07-26 15:16:46,1,,599.109,599.109,600.221,1,1,405.859,405.859,407.365,1,1,5.379,57.988,59.83,16,6,7,5,7,6,6,6,6,6,6,6,5,7,6,7,1.668,1.668,2.737,1,1,4.526,22.558,23.674,16,4,6,3,2,3,7,5,5,3,2,3,2,4,4,1,1.521,1.521,2.77,1,3,0,0,18.394,0,3,2,5,3,5,5,7,7,6,3,4,6,7,3,7,2.847,2.847,4.037,1,2,37.116806030273,-93.321296691895,-1,
R_31BDzMwjxc0zbxm,Default Response Set,Anonymous,,,173.26.34.46,0,2017-07-26 18:39:24,2017-07-26 18:45:16,1,,1.734,34.414,36.212,2,1,165.925,165.925,167.281,1,1,8.77,76.677,77.812,16,5,1,5,1,3,5,6,7,5,5,1,7,1,4,7,3.825,3.825,5.38,1,1,4.189,40.07,41.557,19,3,2,5,4,6,3,3,5,3,5,3,3,4,5,5,2.33,2.33,3.425,1,3,0,0,10.672,0,1,7,6,7,2,2,1,5,6,6,5,3,3,5,3,2.698,2.698,3.918,1,2,37.299896240234,-93.308403015137,-1,
R_25HeWM2D4CWrfMJ,Default Response Set,Anonymous,,,75.98.102.133,0,2017-07-26 23:28:36,2017-07-26 23:38:59,1,,4.312,4.312,6.03,1,1,48.551,113.819,262.518,6,1,14.829,52.821,54.002,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1.963,1.963,4.673,1,1,60.676,110.886,112.07,17,7,6,6,7,5,6,6,5,5,5,6,6,6,6,7,9.083,9.083,12.741,1,2,8.541,74.355,76.854,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1.567,1.567,5.016,1,2,37.206100463867,-93.303199768066,-1,
R_3fcKglNLqyeEFj4,Default Response Set,Anonymous,,,173.20.163.221,0,2017-07-27 11:57:57,2017-07-27 12:09:10,1,,8.102,8.102,9.894,1,1,169.555,169.555,170.769,1,1,220.246,296.912,300.721,19,5,5,5,5,5,6,6,6,5,7,4,4,6,5,7,8.827,8.827,9.907,1,1,4.768,16.075,16.977,17,6,6,5,4,6,6,6,6,6,5,6,6,5,6,6,1.549,1.549,2.353,1,3,94.819,114.409,118.614,2,2,4,3,6,6,2,1,4,7,3,3,7,5,7,3,2.993,2.993,4.518,1,2,37.170196533203,-93.329696655273,-1,
R_UWpR4VWfnIOQI9P,Default Response Set,Anonymous,,,173.216.248.26,0,2017-07-27 12:52:51,2017-07-27 13:16:19,1,,861.799,864.376,865.862,2,1,2.927,214.671,215.948,2,1,4.744,104.567,106.706,17,7,6,5,7,5,5,7,5,5,7,5,6,5,6,7,2.848,2.848,3.999,1,1,3.947,24.256,29.54,17,4,4,5,3,3,3,1,3,7,4,1,5,2,3,4,2.055,2.055,3.057,1,3,34.141,136.368,137.49,5,2,6,4,2,1,1,3,5,5,2,1,7,4,3,6,2.126,2.126,3.248,1,2,36.66960144043,-93.261497497559,-1,
R_2YVRixh5iejWifw,Default Response Set,Anonymous,,,162.194.116.159,0,2017-07-27 14:00:08,2017-07-27 14:10:49,1,,136.635,136.635,138.25,1,1,279.442,279.442,297.639,1,1,8.435,74.515,75.551,15,5,7,5,6,5,5,6,5,5,6,6,7,6,6,7,3.351,3.351,4.681,1,1,4.224,28.034,32.87,17,7,6,3,5,3,7,4,3,2,6,5,4,4,5,6,3.304,3.304,4.866,1,3,0,0,76.085,0,2,3,7,5,5,1,3,2,3,5,4,1,4,7,7,6.089,6.089,7.324,1,2,36.101303100586,-94.269996643066,-1,
R_2bNJqQnw10cLHaP,Default Response Set,Anonymous,,,73.25.144.191,0,2017-07-27 16:34:20,2017-07-27 16:42:35,1,,2.663,2.663,3.59,1,1,264.149,264.149,265.734,1,1,10.582,72.78,77.451,18,7,7,5,4,6,7,6,7,3,6,3,5,7,6,7,1.762,1.762,2.808,1,1,3.93,18.505,29.059,15,1,6,1,7,6,3,5,6,4,6,4,3,2,4,4,1.358,1.358,2.876,1,3,26.066,26.066,60.937,1,2,4,2,4,7,2,5,1,1,5,6,2,7,4,4,1.961,1.961,3.848,1,2,45.620101928711,-122.57749938965,-1,
R_2WwjRVeGssQPlcc,Default Response Set,Anonymous,,,146.7.4.76,0,2017-07-25 19:12:50,2017-07-27 22:15:36,1,,1.132,2.396,3.189,4,1,1.262,1178.664,1180.482,2,1,8.848,71.969,74.39,41,5,4,4,4,4,5,6,5,5,5,4,6,4,6,7,1.827,1.834,2.607,2,1,0,0,21.781,0,3,6,5,6,4,5,1,6,2,6,3,1,4,5,1,7.633,7.633,9.496,1,2,9.232,21.7,38.831,6,2,6,4,4,4,4,7,3,4,3,6,2,2,5,4,2.423,4.252,4.987,2,2,37.215301513672,-93.298202514648,-1,
